Time(s),HeartRate(1/min),TotalLungVolume(mL),RespirationRate(1/min),BloodVolume(mL)
1.66,72.004493,2727.234177,12.048193,5492.181239
1.68,72.004493,2722.861235,12.048193,5492.181813
1.70,72.004493,2718.256927,12.048193,5492.182389
1.72,72.004493,2713.423999,12.048193,5492.182977
1.74,72.004493,2708.365373,12.048193,5492.183584
1.76,72.004493,2703.084143,12.048193,5492.184211
1.78,72.004493,2697.583575,12.048193,5492.184860
1.80,72.004493,2691.867101,12.048193,5492.185528
1.82,72.004493,2685.938323,12.048193,5492.186217
1.84,72.004493,2679.801003,12.048193,5492.186926
1.86,72.004493,2673.459068,12.048193,5492.187656
1.88,72.004493,2666.916600,12.048193,5492.188405
1.90,72.004493,2660.177839,12.048193,5492.189173
1.92,72.004493,2653.247174,12.048193,5492.189961
1.94,72.004493,2646.129146,12.048193,5492.190767
1.96,72.004493,2638.828438,12.048193,5492.191592
1.98,72.004493,2631.349873,12.048193,5492.192436
2.00,72.004493,2623.698412,12.048193,5492.193297
2.02,72.004493,2615.879148,12.048193,5492.194175
2.04,72.004493,2607.897299,12.048193,5492.195071
2.06,72.004493,2599.758208,12.048193,5492.195984
2.08,72.004493,2591.467334,12.048193,5492.196913
2.10,72.004493,2583.030248,12.048193,5492.197859
2.12,72.004493,2574.452626,12.048193,5492.198821
2.14,72.004493,2565.740246,12.048193,5492.199798
2.16,72.004493,2556.898979,12.048193,5492.200791
2.18,72.006469,2547.934787,12.048193,5492.201799
2.20,72.006469,2538.853709,12.048193,5492.202822
2.22,72.006469,2529.661863,12.048193,5492.203859
2.24,72.006469,2520.365434,12.048193,5492.204910
2.26,72.006469,2510.970667,12.048193,5492.205943
2.28,72.006469,2501.483863,12.048193,5492.206929
2.30,72.006469,2491.911368,12.048193,5492.207855
2.32,72.006469,2482.259568,12.048193,5492.208716
2.34,72.006469,2472.534879,12.048193,5492.209514
2.36,72.006469,2462.743742,12.048193,5492.210255
2.38,72.006469,2452.892614,12.048193,5492.210949
2.40,72.006469,2442.987958,12.048193,5492.211605
2.42,72.006469,2433.036238,12.048193,5492.212231
2.44,72.006469,2423.043910,12.048193,5492.212836
2.46,72.006469,2413.017413,12.048193,5492.213425
2.48,72.006469,2402.963161,12.048193,5492.214005
2.50,72.006469,2392.887534,12.048193,5492.214579
2.52,72.006469,2382.796875,12.048193,5492.215153
2.54,72.006469,2372.697475,12.048193,5492.215730
2.56,72.006469,2362.595568,12.048193,5492.216318
2.58,72.006469,2352.497324,12.048193,5492.216924
2.60,72.006469,2342.408843,12.048193,5492.217552
2.62,72.006469,2332.336140,12.048193,5492.218200
2.64,72.006469,2322.285148,12.048193,5492.218869
2.66,72.006469,2312.261702,12.048193,5492.219558
2.68,72.006469,2302.271538,12.048193,5492.220267
2.70,72.006469,2293.136973,12.048193,5492.220996
2.72,72.006469,2285.343588,12.048193,5492.221745
2.74,72.006469,2278.717947,12.048193,5492.222514
2.76,72.006469,2273.099531,12.048193,5492.223301
2.78,72.006469,2268.344335,12.048193,5492.224108
2.80,72.006469,2264.325608,12.048193,5492.224933
2.82,72.006469,2260.933148,12.048193,5492.225776
2.84,72.006469,2258.071942,12.048193,5492.226637
2.86,72.006469,2255.660545,12.048193,5492.227516
2.88,72.006469,2253.629443,12.048193,5492.228412
2.90,72.006469,2251.919488,12.048193,5492.229325
2.92,72.006469,2250.480481,12.048193,5492.230254
2.94,72.006469,2249.269891,12.048193,5492.231200
2.96,72.006469,2248.251744,12.048193,5492.232162
2.98,72.006469,2247.395648,12.048193,5492.233139
3.00,72.006469,2246.675950,12.048193,5492.234132
3.02,72.008122,2246.071018,12.048193,5492.235140
3.04,72.008122,2245.562619,12.048193,5492.236163
3.06,72.008122,2245.135399,12.048193,5492.237200
3.08,72.008122,2244.776430,12.048193,5492.238251
3.10,72.008122,2244.474834,12.048193,5492.239284
3.12,72.008122,2244.221457,12.048193,5492.240270
3.14,72.008122,2244.008604,12.048193,5492.241197
3.16,72.008122,2243.829800,12.048193,5492.242057
3.18,72.008122,2243.679607,12.048193,5492.242855
3.20,72.008122,2243.553449,12.048193,5492.243597
3.22,72.008122,2243.447484,12.048193,5492.244291
3.24,72.008122,2243.358482,12.048193,5492.244947
3.26,72.008122,2243.283728,12.048193,5492.245574
3.28,72.008122,2243.220943,12.048193,5492.246178
3.30,72.008122,2243.168212,12.048193,5492.246768
3.32,72.008122,2243.123925,12.048193,5492.247348
3.34,72.008122,2243.086729,12.048193,5492.247922
3.36,72.008122,2243.055491,12.048193,5492.248496
3.38,72.008122,2243.029255,12.048193,5492.249073
3.40,72.008122,2243.007221,12.048193,5492.249661
3.42,72.008122,2242.988717,12.048193,5492.250268
3.44,72.008122,2242.973176,12.048193,5492.250896
3.46,72.008122,2242.960124,12.048193,5492.251544
3.48,72.008122,2242.949163,12.048193,5492.252213
3.50,72.008122,2242.939957,12.048193,5492.252902
3.52,72.008122,2242.932226,12.048193,5492.253612
3.54,72.008122,2242.925734,12.048193,5492.254341
3.56,72.008122,2242.920281,12.048193,5492.255090
3.58,72.008122,2242.915702,12.048193,5492.255859
3.60,72.008122,2242.911856,12.048193,5492.256647
3.62,72.008122,2242.908626,12.048193,5492.257454
3.64,72.008122,2242.905914,12.048193,5492.258279
3.66,72.008122,2242.903636,12.048193,5492.259122
3.68,72.008122,2242.901723,12.048193,5492.259984
3.70,72.008122,2242.900116,12.048193,5492.260863
3.72,72.008122,2242.898767,12.048193,5492.261759
3.74,72.008122,2242.897634,12.048193,5492.262672
3.76,72.008122,2242.896682,12.048193,5492.263601
3.78,72.008122,2242.895883,12.048193,5492.264547
3.80,72.008122,2242.895212,12.048193,5492.265509
3.82,72.008122,2242.894648,12.048193,5492.266486
3.84,72.008122,2242.894175,12.048193,5492.267479
3.86,72.009450,2242.893777,12.048193,5492.268488
3.88,72.009450,2242.893443,12.048193,5492.269511
3.90,72.009450,2242.893163,12.048193,5492.270548
3.92,72.009450,2242.892928,12.048193,5492.271599
3.94,72.009450,2242.892730,12.048193,5492.272632
3.96,72.009450,2242.892564,12.048193,5492.273619
3.98,72.009450,2242.892424,12.048193,5492.274545
4.00,72.009450,2242.892307,12.048193,5492.275406
4.02,72.009450,2242.892209,12.048193,5492.276204
4.04,72.009450,2242.892126,12.048193,5492.276946
4.06,72.009450,2242.892057,12.048193,5492.277640
4.08,72.009450,2242.891999,12.048193,5492.278296
4.10,72.009450,2242.891950,12.048193,5492.278922
4.12,72.009450,2242.891908,12.048193,5492.279527
4.14,72.009450,2242.891874,12.048193,5492.280117
4.16,72.009450,2242.891845,12.048193,5492.280697
4.18,72.009450,2242.891821,12.048193,5492.281272
4.20,72.009450,2242.891800,12.048193,5492.281845
4.22,72.009450,2242.891783,12.048193,5492.282423
4.24,72.009450,2242.891769,12.048193,5492.283011
4.26,72.009450,2242.891757,12.048193,5492.283618
4.28,72.009450,2242.891746,12.048193,5492.284245
4.30,72.009450,2242.891738,12.048193,5492.284894
4.32,72.009450,2242.891731,12.048193,5492.285563
4.34,72.009450,2242.891725,12.048193,5492.286252
4.36,72.009450,2242.891720,12.048193,5492.286961
4.38,72.009450,2242.891715,12.048193,5492.287691
4.40,72.009450,2242.891712,12.048193,5492.288440
4.42,72.009450,2242.891709,12.048193,5492.289209
4.44,72.009450,2242.891706,12.048193,5492.289997
4.46,72.009450,2242.891704,12.048193,5492.290803
4.48,72.009450,2242.891702,12.048193,5492.291629
4.50,72.009450,2242.891701,12.048193,5492.292472
4.52,72.009450,2242.891700,12.048193,5492.293333
4.54,72.009450,2242.891699,12.048193,5492.294212
4.56,72.009450,2242.891698,12.048193,5492.295108
4.58,72.009450,2242.891697,12.048193,5492.296021
4.60,72.009450,2242.891696,12.048193,5492.296951
4.62,72.009450,2244.293986,12.048193,5492.297897
4.64,72.009450,2246.910323,12.048193,5492.298858
4.66,72.009450,2250.564978,12.048193,5492.299836
4.68,72.009450,2255.101368,12.048193,5492.300829
4.70,72.010787,2260.383580,12.048193,5492.301837
4.72,72.010787,2266.295441,12.048193,5492.302860
4.74,72.010787,2272.738541,12.048193,5492.303898
4.76,72.010787,2279.629930,12.048193,5492.304949
4.78,72.010787,2286.899842,12.048193,5492.305981
4.80,72.010787,2294.489617,12.048193,5492.306968
4.82,72.010787,2302.349874,12.048193,5492.307894
4.84,72.010787,2310.438941,12.048193,5492.308755
4.86,72.010787,2318.721533,12.048193,5492.309553
4.88,72.010787,2327.167638,12.048193,5492.310294
4.90,72.010787,2335.751598,12.048193,5492.310989
4.92,72.010787,2344.451345,12.096774,5492.311645
4.94,72.010787,2353.247764,12.096774,5492.312271
4.96,72.010787,2362.124176,12.096774,5492.312876
4.98,72.010787,2371.065906,12.096774,5492.313465
5.00,72.010787,2380.059930,12.096774,5492.314045
5.02,72.010787,2389.094582,12.096774,5492.314620
5.04,72.010787,2398.159315,12.096774,5492.315193
5.06,72.010787,2407.244504,12.096774,5492.315771
5.08,72.010787,2416.341280,12.096774,5492.316359
5.10,72.010787,2425.441399,12.096774,5492.316966
5.12,72.010787,2434.537130,12.096774,5492.317593
5.14,72.010787,2443.621165,12.096774,5492.318241
5.16,72.010787,2452.686540,12.096774,5492.318910
5.18,72.010787,2461.726582,12.096774,5492.319599
5.20,72.010787,2470.734850,12.096774,5492.320309
5.22,72.010787,2479.705099,12.096774,5492.321038
5.24,72.010787,2488.631244,12.096774,5492.321787
5.26,72.010787,2497.507332,12.096774,5492.322556
5.28,72.010787,2506.327524,12.096774,5492.323344
5.30,72.010787,2515.086071,12.096774,5492.324150
5.32,72.010787,2523.777305,12.096774,5492.324976
5.34,72.010787,2532.395626,12.096774,5492.325819
5.36,72.010787,2540.935493,12.096774,5492.326680
5.38,72.010787,2549.391417,12.096774,5492.327559
5.40,72.010787,2557.757960,12.096774,5492.328455
5.42,72.010787,2566.029728,12.096774,5492.329368
5.44,72.010787,2574.201369,12.096774,5492.330297
5.46,72.010787,2582.267577,12.096774,5492.331243
5.48,72.010787,2590.223087,12.096774,5492.332205
5.50,72.010787,2598.062678,12.096774,5492.333182
5.52,72.010787,2605.781174,12.096774,5492.334175
5.54,72.012188,2613.373446,12.096774,5492.335183
5.56,72.012188,2620.834418,12.096774,5492.336206
5.58,72.012188,2628.159063,12.096774,5492.337243
5.60,72.012188,2635.342410,12.096774,5492.338294
5.62,72.012188,2642.379550,12.096774,5492.339326
5.64,72.012188,2649.265635,12.096774,5492.340313
5.66,72.012188,2655.995883,12.096774,5492.341239
5.68,72.012188,2662.565585,12.096774,5492.342100
5.70,72.012188,2668.970104,12.096774,5492.342898
5.72,72.012188,2675.204883,12.096774,5492.343639
5.74,72.012188,2681.265447,12.096774,5492.344334
5.76,72.012188,2687.147410,12.096774,5492.344989
5.78,72.012188,2692.846475,12.096774,5492.345616
5.80,72.012188,2698.358440,12.096774,5492.346221
5.82,72.012188,2703.679205,12.096774,5492.346810
5.84,72.012188,2708.804771,12.096774,5492.347390
5.86,72.012188,2713.731248,12.096774,5492.347964
5.88,72.012188,2718.454858,12.096774,5492.348538
5.90,72.012188,2722.971938,12.096774,5492.349115
5.92,72.012188,2727.278944,12.096774,5492.349703
5.94,72.012188,2731.372456,12.096774,5492.350310
5.96,72.012188,2735.249181,12.096774,5492.350937
5.98,72.012188,2738.905956,12.096774,5492.351586
6.00,72.012188,2742.339754,12.096774,5492.352254
6.02,72.012188,2745.547683,12.096774,5492.352943
6.04,72.012188,2748.526994,12.096774,5492.353653
6.06,72.012188,2751.275081,12.096774,5492.354382
6.08,72.012188,2753.789485,12.096774,5492.355131
6.10,72.012188,2756.067899,12.096774,5492.355900
6.12,72.012188,2758.108166,12.096774,5492.356687
6.14,72.012188,2759.908287,12.096774,5492.357494
